,
1725090,2
1725021,1
1725153,2
1725057,1
1725071,2
1725198,1
1725059,1
1725085,1
1725179,1
1725169,1
,0
1725066,0
1725061,3
1725164,2
1725145,2
1725058,1
1725032,0
1725191,0
1725141,0
1725163,1
1725025,1
,0
1725033,0
1725098,1
1725201,1
1725002,1
1725102,0
1725125,2
1725009,2
1725047,1
1725207,0
1725160,0
,0
1725142,3
1725039,2
1725014,1
1725154,1
1725091,2
1725196,1
71725138,0
1725148,0
1725171,2
1725113,0
,0
1725208,3
1725181,0
1725143,1
71725167,2
1725104,2
1725034,2
1725062,1
1725101,1
1725074,0
1725100,0
,0
1725017,2
1725068,1
61725134,1
1725010,0
1725019,0
1725172,0
1725092,0
,0
1725083,2
1725041,1
1725190,1
1725063,1
1725027,1
1725015,0
71725134,1
61725127,0
,0
1725159,0
1725079,1
1725081,1
71725177,1
71725089,1
1725105,0
1725178,1
1725040,0
,0
1725031,2
1725056,2
71725137,1
1725155,1
71725127,0
1725192,0
1725055,0
1725007,0
